Country,p,q,bic
AT,1,3,16113.82070867979
BE,1,3,13754.73704894474
BG,5,3,10562.00274425408
CH,3,2,5740.838905652499
CZ,5,0,8782.346045265698
DE,3,0,21382.1662430811
DK,2,1,14120.433499572075
EE,1,4,6972.537478459108
EL,1,3,12545.528933299944
ES,1,4,20548.884710429615
FI,3,0,9477.841540908985
FR,5,3,17748.63453678647
HR,1,3,9441.560390855737
HU,1,3,9563.581549602239
IE,4,0,13899.39491252061
IT,2,1,16632.76232364644
LT,4,0,7946.466266914191
LU,2,1,3759.8994048128184
LV,1,3,3053.959578631771
NL,2,1,14737.691105109214
NO,3,0,9502.920998699941
PL,3,4,16547.29032502921
PT,3,1,16710.927455997633
RO,5,5,15067.756103478596
SE,2,1,13748.842691744052
SI,1,2,-3570.4268014351815
SK,1,2,-3389.7816183444997
UK,2,1,17379.41628001777
