country,95% CI for ratio
AT,"(1.15, 1.29)"
BE,"(1.40, 1.54)"
BG,"(1.16, 1.30)"
CH,"(0.95, 0.98)"
CZ,"(1.18, 1.22)"
DE,"(1.57, 1.83)"
DK,"(1.32, 1.43)"
EE,"(0.79, 0.80)"
ES,"(1.24, 1.31)"
FI,"(0.84, 0.87)"
FR,"(1.43, 1.55)"
EL,"(1.20, 1.24)"
HR,"(0.85, 0.86)"
HU,"(0.83, 0.85)"
IE,"(0.98, 1.09)"
IT,"(1.23, 1.29)"
LT,"(0.88, 0.90)"
LU,"(0.86, 0.88)"
LV,"(0.76, 0.76)"
NL,"(1.34, 1.44)"
NO,"(0.89, 0.94)"
PL,"(1.13, 1.20)"
PT,"(1.12, 1.16)"
RO,"(1.33, 1.54)"
SI,"(0.82, 0.83)"
SK,"(0.88, 0.88)"
SE,"(1.10, 1.15)"
UK,"(1.65, 1.80)"
