country,tol,ratio_mean,ratio_ci_lower_bound,ratio_ci_upper_bound
AT,0.01000,5.34007,2.65570,8.02444
AT,0.05000,3.71853,3.04790,4.38916
BE,0.01000,5.54167,3.76077,7.32257
BE,0.05000,3.53313,3.02587,4.04039
BG,0.01000,2.62056,1.75274,3.48839
BG,0.05000,1.77724,1.58289,1.97160
CH,0.01000,2.40881,1.42533,3.39228
CH,0.05000,1.33104,1.27355,1.38854
CZ,0.01000,0.23154,-0.29224,0.75532
CZ,0.05000,1.59162,1.40072,1.78252
DE,0.01000,1.74737,1.50882,1.98591
DE,0.05000,1.78051,1.60319,1.95782
DK,0.01000,3.38077,2.88335,3.87820
DK,0.05000,3.13566,2.69654,3.57477
EE,0.01000,0.00000,,
EE,0.05000,3.85596,2.76813,4.94380
EL,0.01000,1.38922,1.32986,1.44858
EL,0.05000,1.35861,1.30806,1.40915
ES,0.01000,1.31874,1.26247,1.37501
ES,0.05000,1.36114,1.30572,1.41656
FI,0.01000,0.00000,,
FI,0.05000,12.06112,7.74648,16.37576
FR,0.01000,1.88980,1.69240,2.08721
FR,0.05000,1.85034,1.71951,1.98117
HR,0.01000,11.69279,0.63488,22.75070
HR,0.05000,5.21189,4.08169,6.34209
HU,0.01000,5.71130,1.65998,9.76262
HU,0.05000,3.04718,2.56816,3.52619
IE,0.01000,52.43378,-6.62181,111.48936
IE,0.05000,2.99957,1.77944,4.21970
IT,0.01000,1.32299,1.24800,1.39798
IT,0.05000,1.27998,1.23191,1.32805
LT,0.01000,0.00000,,
LT,0.05000,19.69641,8.84999,30.54283
LU,0.01000,4.10997,1.39810,6.82184
LU,0.05000,2.76452,2.22238,3.30666
LV,0.01000,0.25366,-0.32016,0.82748
LV,0.05000,1.25073,0.98460,1.51685
NL,0.01000,3.71242,3.09741,4.32743
NL,0.05000,3.49606,3.05469,3.93743
NO,0.01000,5.30685,2.49599,8.11771
NO,0.05000,1.10654,1.04773,1.16534
PL,0.01000,22.63879,14.26647,31.01111
PL,0.05000,9.12974,7.63882,10.62066
PT,0.01000,1.49482,1.39400,1.59564
PT,0.05000,1.47107,1.39660,1.54554
RO,0.01000,3.81406,-0.18153,7.80965
RO,0.05000,3.02638,2.19495,3.85782
SE,0.01000,3.64687,2.48716,4.80657
SE,0.05000,3.18852,2.34975,4.02729
SI,0.01000,0.23206,-0.11898,0.58311
SI,0.05000,1.03668,1.01610,1.05726
SK,0.01000,1.04623,1.02378,1.06868
SK,0.05000,1.01556,1.00869,1.02243
UK,0.01000,2.60203,2.16164,3.04242
UK,0.05000,2.20583,2.01400,2.39765
